"id","district_id","locale","created_at","updated_at","name"
525,525,"da","2018-08-29 12:33:06.260642","2018-08-29 12:33:06.260642","AT - Bergland"
532,532,"da","2018-08-29 12:37:36.438335","2018-08-29 12:37:36.438335","AT - Neusiedlersee-Hügelland"
533,533,"da","2018-08-29 12:37:57.711798","2018-08-29 12:37:57.711798","AT - Steiermark"
542,542,"da","2018-08-29 13:04:43.591517","2018-08-29 13:04:43.591517","AU - Tasmanian"
464,464,"da","2018-01-25 17:41:17.75194","2018-08-29 13:09:16.295527","BG - Bulgaria"
554,554,"da","2018-08-29 13:44:40.694657","2018-08-29 13:44:40.694657","CA - Nova Scotia"
566,566,"da","2018-08-29 13:54:40.24583","2018-08-29 13:54:40.24583","PT - Beiras"
570,570,"da","2018-08-29 13:56:31.382291","2018-08-29 13:56:31.382291","CL - Itata Valley"
571,571,"da","2018-08-29 13:56:31.968979","2018-08-29 13:56:31.968979","PT - Minho"
573,573,"da","2018-08-29 13:56:56.629387","2018-08-29 13:56:56.629387","CL - Leyda Valley"
576,576,"da","2018-08-29 13:57:37.679993","2018-08-29 13:57:37.679993","PT - Transmontano"
444,444,"da","2017-12-12 10:10:49.061926","2018-08-29 13:58:12.233178","CL - Maipo Valley"
432,432,"da","2017-12-04 13:24:20.825761","2018-08-29 14:03:16.839129","DK - Denmark"
580,580,"da","2018-08-29 14:03:45.988884","2018-08-29 14:03:45.988884","NZ - Canterbury"
412,412,"da","2017-11-21 15:54:57.354751","2018-08-29 14:03:46.31265","ES - Aragon"
584,584,"da","2018-08-29 14:04:28.632139","2018-08-29 14:04:28.632139","ES - Balearic Islands"
587,587,"da","2018-08-29 14:04:48.625246","2018-08-29 14:04:48.625246","NZ - Waipara"
589,589,"da","2018-08-29 14:05:17.838847","2018-08-29 14:05:17.838847","NZ - Waitaki Valley"
483,483,"da","2018-03-08 15:18:13.400733","2018-08-29 14:07:41.584271","ES - Murcia"
603,603,"da","2018-08-29 14:21:33.206908","2018-08-29 14:21:33.206908","ES - Valencia"
604,604,"da","2018-08-29 14:22:24.986167","2018-08-29 14:22:24.986167","ES - Vinos de Pago"
502,502,"da","2018-07-17 15:08:48.707031","2018-08-29 14:50:25.526997","DE - Franken"
608,608,"da","2018-08-29 14:51:50.030236","2018-08-29 14:51:50.030236","DE - Sachsen"
616,616,"da","2018-08-29 15:04:15.782047","2018-08-29 15:04:15.782047","FR - Calvados"
622,622,"da","2018-08-30 07:34:20.65631","2018-08-30 07:34:20.65631","CH - Graubunden"
627,627,"da","2018-08-30 07:35:10.098934","2018-08-30 07:35:10.098934","CH - Ticino"
632,632,"da","2018-08-30 07:52:46.982904","2018-08-30 07:52:46.982904","TR - Turkey"
507,507,"da","2018-08-08 11:35:45.797796","2018-08-30 08:02:39.602991","SI - Podravje"
636,636,"da","2018-08-30 08:08:44.580015","2018-08-30 08:08:44.580015","HR - Peljesac Peninsula"
639,639,"da","2018-08-30 08:09:32.325262","2018-08-30 08:09:32.325262","HR - Kontinentalna Hrvatska"
640,640,"da","2018-08-30 08:09:44.775119","2018-08-30 08:09:44.775119","HR - Primorska Hrvatska"
479,479,"da","2018-02-21 15:36:42.215694","2018-08-30 08:30:01.561667","XX - Beer & Spirits"
645,645,"da","2018-09-20 09:13:49.768989","2018-09-20 09:13:49.768989","MX - Baja California"
650,650,"da","2018-09-21 12:22:02.79849","2018-09-21 12:22:02.79849","SI - Primorski"
654,654,"da","2018-09-21 15:46:07.153988","2018-09-21 15:46:07.153988","CN - Shanxi"
659,659,"da","2018-09-24 13:52:38.760518","2018-09-24 13:52:38.760518","GE - Kakheti"
491,491,"da","2018-03-15 15:21:41.513566","2018-08-29 11:49:14.668287","DE - Nahe"
429,429,"da","2017-12-01 14:40:07.766171","2018-08-29 11:53:55.236818","ES - Madrid"
438,438,"da","2017-12-09 16:42:50.290862","2018-08-29 11:24:01.131561","PT - Alentejo"
