Id,Name,ProducerId,Appellation,Country,Region,WineType,PRODUCER_SALESFORCE_ID
7032,"Barolo ""Sarmassa""",861,,Italy,Piemonte,Red wine,a0F1X0000005aC5UAI
1350,Le Difese,130,,Italy,Tuscany,Red wine,a0F1X0000005apfUAA
7043,Gamay Noir,2770,,Bulgaria,Bulgaria,Red wine,a0F1X0000005a8OUAQ
7702,"Vin Jaune ""La Vasée""",2139,,France,Jura,White wine,a0F1X0000005aAdUAI
10196,Petit Verdot,2511,,Spain,Castilla y León,Red wine,a0F1X0000005a8FUAQ
7717,"Bianco ""SP68""",2852,,Italy,Sicily,White wine,a0F1X0000005aimUAA
7704,"Vino da Uve Stramature Passito ""Ara Murata""",3060,,Italy,Marche,Sweet wine,a0F1X0000005apqUAA
7708,"Muskat ""Rumeni""",3064,,Slovakia,Slovakia,Sweet wine,a0F1X0000005apBUAQ
7703,"Vild Dansk Cider ""Sig Natur""",3059,,Denmark,Denmark,Cider,a0F1X0000005a8QUAQ
7701,"Brut ""Almanach N. 1""",3058,,France,Champagne,Sparkling wine,a0F1X0000005aZbUAI
7699,"Brut ""Be Bop""",3057,,France,Vin de France,Sparkling wine,a0F1X0000005aUtUAI
7711,Gattinara Riserva,3066,,Italy,Piemonte,Red wine,a0F1X0000005a9hUAA
7714,110 Oyster,3069,,Italy,Campania,White wine,a0F1X0000005ac0UAA
1348,Colombier-Monpelou,733,,France,Bordeaux,Red wine,a0F1X0000005aGKUAY
1370,Haut-Marbuzet,751,St Estephe,France,Bordeaux,Red wine,a0F1X0000005aITUAY
1499,Chadwick,174,,Chile,Maipo Valley,Red wine,a0F1X0000005aWfUAI
1671,"Barbaresco ""Rabaja di Barbaresco""",2220,,Italy,Piemonte,Red wine,a0F1X0000005aWtUAI
7504,"Spätburgunder GG ""Centgrafenberg""",3005,,Germany,Franken,Red wine,a0F1X0000005aYGUAY
1540,"Cote-Rotie ""Cuvee du Plessy""",811,,France,Rhone,Red wine,a0F1X0000005aYxUAI
1376,"Haux ""Reserve de Proprietaires""",473,,France,Bordeaux,Red wine,a0F1X0000005aGxUAI
1539,"Beaune 1er Cru ""Clos de la Mousse""",2210,,France,Burgundy,Red wine,a0F1X0000005aC0UAI
7499,"Chateauneuf-du-Pape ""Omnia - Rotem & Mounir Saouma""",874,,France,Rhone,Red wine,a0F1X0000005afTUAQ
7520,Canon,3009,,France,Bordeaux,Red wine,a0F1X0000005aFsUAI
1393,La Garde,759,Pessac-Leognan,France,Bordeaux,Red wine,a0F1X0000005aJ6UAI
1426,Troplong Mondot,771,St Emilion,France,Bordeaux,Red wine,a0F1X0000005aM7UAI
7505,"Charmes Chambertin ""Les Mazovères""",51,,France,Burgundy,Red wine,a0F1X0000005aQvUAI
1423,"Beaune 1er cru ""Les Grèves""",768,,France,Burgundy,Red wine,a0F1X0000005a8qUAA
1538,"Barbaresco ""Ronchi""",810,,Italy,Piemonte,Red wine,a0F1X0000005a8kUAA
7512,Rosso di Toscana,3001,,Italy,Tuscany,Red wine,a0F1X0000005ajhUAA
7516,"Brunello di Montalcino ""Poderina""",1554,,Italy,Tuscany,Red wine,a0F1X0000005apmUAA
1649,Ornellaia,2590,,Italy,Tuscany,Red wine,a0F1X0000005aj1UAA
7542,"Brunello di Montalcino ""Pecci""",3001,,Italy,Tuscany,Red wine,a0F1X0000005ajhUAA
7749,"Riesling Auslese ""Erdener Prälat""",3095,,Germany,Mosel,White wine,a0F1X0000005aB8UAI
1740,"Cornas ""Granit 30""",368,,France,Rhone,Red wine,a0F1X0000005aVQUAY
