Id	Name	ProducerId	Appellation	Country	Region	WineType
5471	Champagne Smagekasse	1417		France	Champagne	Sparkling wine
8659	Chianti Classico Riserva "Caparsino"	3367		Italy	Tuscany	Red wine
8675	Barbaresco "Roccalini"	3374		Italy	Piemonte	Red wine
6655	Cabernet "Cask Rutherford"	2744		United States	California	Red wine
8500	Cotes-du-Rhone	1490		France	Rhone	Red wine
6570	Chateauneuf-du-Pape "Cuvee Mourre des Perdrix"	2710		France	Rhone	Red wine
5770	Corton-Languettes Grand Cru	2464		France	Burgundy	Red wine
6179	La Fleur-Petrus	477		France	Bordeaux	Red wine
4492	Riesling Auslese GG "Dalsheim Hubacker"	95		Germany	Rheinhessen	White wine
9816	Garmón	3744		Spain	Castilla y León	Red wine
7291	Morgon	637		France	Burgundy	Red wine
733	Tumara "Morkel"	432		South Africa	Western Cape	Red wine
1935	Puligny-Montrachet "Clos-du-Chateau"	1002		France	Burgundy	White wine
8469	Vintage Grand Cru "Prestige"	3300		France	Champagne	Sparkling wine
4717	Lalande de Gravet	2131		France	Bordeaux	Red wine
10353	Riesling Grand Cru "Pfersigberg"	3933		France	Alsace	White wine
3377	Montevertine	857		Italy	Tuscany	Red wine
9469	Beaune 1er Cru	265		France	Burgundy	Red wine
9904	Luberon Blanc	3761		France	South West France	White wine
4979	Cote de Nuits-Villages	2210		France	Burgundy	Red wine
9358	Vintage "Sir Winston Churchill"	754		France	Champagne	Sparkling wine
1558	Le Secret	824		France	Rhone	Red wine
5829	Barolo "Trediberri"	925		Italy	Tuscany	Red wine
3426	Rosso "Centin"	1641		Italy	Piemonte	Red wine
7959	Hautes-Cotes de Nuits	1832		France	Burgundy	Red wine
2856	Saumur "Brézé"	1237		France	Loire	White wine
8904	Blanc de Noirs Extra Brut "Les Maillons"	2378		France	Champagne	Sparkling wine
1657	Chassagne-Montrachet 1er Cru "En Virondot"	860		France	Burgundy	White wine
85	Priorat "La Basseta"	508		Spain	Catalonia	Red wine
7771	Puligny-Montrachet 1er Cru "Clos de la Mouchere"	452		France	Burgundy	White wine
8839	Puligny-Montrachet 1er Cru "Le Cailleret"	818		France	Burgundy	White wine
5758	Riesling Spätlese "Ürziger Würzgarten - Alte Reben"	618		Germany	Mosel	White wine
9009	Côte-Rôtie	3464		France	Rhone	Red wine
6728	Barolo "Marcenasco"	970		Italy	Piemonte	Red wine
5889	Barolo "Rocche dell'Annunziata"	970		Italy	Piemonte	Red wine
6049	Pinot Noir	2543		United States	California	Red wine
10427	Savigny-les-Beaune "Les Goudelettes"	1331		France	Burgundy	Red wine
5886	Riesling "Berg Roseneck"	2481		Germany	Rheingau	White wine
